8.222.224.17:443   | 172.70.142.113 | SG | 201ms | cloudflare | 2023-09-04 00:19:13
8.222.152.165:443  | 162.158.189.172 | SG | 203ms | cloudflare | 2023-09-04 00:18:13
8.222.152.165:443  | 172.70.142.194 | SG | 204ms | cloudflare | 2023-09-04 00:18:29
8.222.193.135:443  | 172.70.147.8   | SG | 207ms | cloudflare | 2023-09-04 00:18:41
8.222.221.90:443   | 162.158.107.3  | SG | 207ms | cloudflare | 2023-09-04 00:19:09
8.222.244.123:443  | 172.70.189.174 | SG | 208ms | cloudflare | 2023-09-04 00:18:53
8.219.78.1:443     | 172.70.92.160  | SG | 209ms | cloudflare | 2023-09-04 00:15:10
8.222.128.131:443  | 162.158.189.128 | SG | 209ms | cloudflare | 2023-09-04 00:18:15
8.222.222.64:443   | 108.162.226.131 | SG | 210ms | cloudflare | 2023-09-04 00:19:11
8.222.221.109:443  | 162.158.162.139 | SG | 213ms | cloudflare | 2023-09-04 00:19:09
8.219.144.168:443  | 172.70.189.111 | SG | 214ms | cloudflare | 2023-09-04 00:15:32
8.222.253.235:443  | 172.70.142.134 | SG | 214ms | cloudflare | 2023-09-04 00:19:24
8.222.253.235:443  | 172.70.189.97  | SG | 214ms | cloudflare | 2023-09-04 00:19:02
8.222.212.219:443  | 162.158.171.9  | SG | 215ms | cloudflare | 2023-09-04 00:18:51
8.222.223.34:443   | 108.162.226.80 | SG | 215ms | cloudflare | 2023-09-04 00:18:50
8.219.193.202:443  | 108.162.226.79 | SG | 217ms | cloudflare | 2023-09-04 00:15:43
8.222.138.164:443  | 162.158.106.50 | SG | 217ms | cloudflare | 2023-09-04 00:18:27
8.222.140.87:443   | 162.158.171.7  | SG | 217ms | cloudflare | 2023-09-04 00:18:28
8.222.140.87:443   | 172.70.147.45  | SG | 217ms | cloudflare | 2023-09-04 00:18:14
8.222.138.164:443  | 162.158.106.79 | SG | 218ms | cloudflare | 2023-09-04 00:18:13
8.222.254.91:443   | 162.158.189.230 | SG | 218ms | cloudflare | 2023-09-04 00:19:04
8.222.254.91:443   | 162.158.189.196 | SG | 219ms | cloudflare | 2023-09-04 00:19:23
8.222.255.15:443   | 172.70.143.46  | SG | 219ms | cloudflare | 2023-09-04 00:19:00
8.222.193.208:443  | 162.158.189.143 | SG | 220ms | cloudflare | 2023-09-04 00:18:41
8.222.222.64:443   | 162.158.106.156 | SG | 220ms | cloudflare | 2023-09-04 00:18:42
8.222.208.83:443   | 172.70.142.164 | SG | 221ms | cloudflare | 2023-09-04 00:19:06
8.222.255.15:443   | 172.70.147.201 | SG | 222ms | cloudflare | 2023-09-04 00:19:23
8.222.137.192:443  | 172.70.189.75  | SG | 223ms | cloudflare | 2023-09-04 00:18:13
8.222.137.192:443  | 162.158.106.227 | SG | 224ms | cloudflare | 2023-09-04 00:18:26
8.222.211.16:443   | 108.162.227.141 | SG | 225ms | cloudflare | 2023-09-04 00:19:06
8.222.212.219:443  | 162.158.189.117 | SG | 225ms | cloudflare | 2023-09-04 00:19:07
8.222.211.16:443   | 172.70.143.90  | SG | 226ms | cloudflare | 2023-09-04 00:18:49
8.222.226.15:443   | 162.158.170.177 | SG | 242ms | cloudflare | 2023-09-04 00:19:10
8.222.226.15:443   | 162.158.170.177 | SG | 244ms | cloudflare | 2023-09-04 00:18:51
